geoid20_x,FIPS,ShapeSTArea,ShapeSTLength,pop_below_100_pct,pop_below_200_pct,chd_pct,total_pop,snap_rate,Age Total population,Under 18 years,Percent Under 18 years,0-19 years,20 to 44 years,45 to 64 years,65 years and over,Percent 65 years and over,85 years and over,Hispanic or Latino,Percent Hispanic or Latino,Not Hispanic or Latino,geoid20_y
123420,6037123420,8467590.225,14727.10482,23.25025,44.386841,5.4938455,4731,14.796026,4401,921,20.9,1037,1581,1328,455,10.3,18,2547,57.9,1854,123420
123510,6037123510,8594011.615,12270.67372,20.863735,45.336227,5.9035835,5079,3.937783,4911,1163,23.7,1348,1778,1135,650,13.2,126,2489,50.7,2422,123510
123520,6037123520,5498246.878,12490.87506,26.295105,53.876385,5.6105609,2700,7.4074073,2619,511,19.5,594,972,689,364,13.9,8,1371,52.3,1248,123520
123602,6037123602,9985609.135,14187.4567,27.365356,40.611355,5.4916148,3412,2.9308324,3190,635,19.9,667,1014,768,741,23.2,99,1014,31.8,2176,123602
123901,6037123901,13897463.02,15030.35455,15.164609,44.609055,4.5098567,4158,9.6200094,3986,881,22.1,1044,1426,953,563,14.1,54,2091,52.5,1895,123901
124102,6037124102,6987656.394,10573.06296,29.317608,49.536648,4.7017546,3597,8.3402834,3650,716,19.6,871,1725,684,370,10.1,38,1324,36.3,2326,124102
124103,6037124103,3486761.997,7921.977729,18.157614,58.998936,4.9234862,1956,10.224949,1811,416,23,452,681,502,176,9.7,27,1153,63.7,658,124103
124104,6037124104,3492065.213,7927.118497,13.736263,43.56358,4.7223663,2596,7.7041602,2764,529,19.1,580,1203,624,357,12.9,115,1612,58.3,1152,124104
124105,6037124105,3493113.809,7929.039266,10.712724,41.976387,4.4022012,2428,12.355848,2250,443,19.7,463,1117,447,223,9.9,0,1374,61.1,876,124105
124201,6037124201,10468289.93,13209.63823,14.40248,28.720406,4.5065179,3496,11.441648,3837,734,19.1,909,1580,1077,271,7.1,31,2689,70.1,1148,124201
124204,6037124204,3491073.757,7925.264192,26.369495,51.825993,3.9914849,2104,9.505703,2302,504,21.9,547,938,630,187,8.1,0,1315,57.1,987,124204
124902,6037124902,3644289.506,8062.469727,15.598431,37.835186,6.1162081,3294,6.0716453,3301,596,18.1,619,1464,751,467,14.1,30,769,23.3,2532,124902
124903,6037124903,3351724.234,7812.200917,18.324902,29.145588,4.4848881,3979,7.5395827,3744,718,19.2,737,1802,732,473,12.6,79,925,24.7,2819,124903
125101,6037125101,6993797.274,10577.59476,12.363331,24.137932,4.0048542,3819,2.6184864,3978,396,10,494,2364,788,332,8.3,20,1189,29.9,2789,125101
125102,6037125102,6984254.144,10570.90672,13.861386,14.615747,4.0097203,1838,5.4406962,1948,418,21.5,449,662,453,384,19.7,11,175,9,1773,125102
125310,6037125310,11344368.8,19251.09385,17.297581,39.037853,3.907923,3525,11.347518,3598,466,13,483,1973,769,373,10.4,32,1170,32.5,2428,125310
125321,6037125321,2790573.451,6882.614225,14.244092,35.124638,3.7113402,2718,3.6791759,2761,360,13,360,1625,509,267,9.7,9,989,35.8,1772,125321
125322,6037125322,4016990.463,8863.782488,29.337233,45.614037,3.686471,1979,20.212229,1981,0,0,0,1209,281,491,24.8,30,793,40,1188,125322
125402,6037125402,7889271.706,11288.35404,11.282919,28.146894,3.2170367,4520,2.2123895,4403,385,8.7,457,2588,1012,346,7.9,37,846,19.2,3557,125402
125403,6037125403,1811797.306,6036.395242,8.695652,18.051243,2.7227724,2344,4.2662115,2571,125,4.9,160,1890,331,190,7.4,80,921,35.8,1650,125403
125404,6037125404,2469661.958,8591.64331,24.201931,31.774313,2.6879768,2696,3.7091987,2886,190,6.6,190,2385,230,81,2.8,1,484,16.8,2402,125404
125501,6037125501,4995201.974,9227.603634,20.270269,34.026333,4.0028591,2945,13.582343,2871,325,11.3,331,1744,502,294,10.2,86,590,20.6,2281,125501
125502,6037125502,5628290.556,9622.557921,14.293583,23.134123,3.2144005,3817,5.239717,3624,348,9.6,366,1823,812,623,17.2,40,903,24.9,2721,125502
127102,6037127102,9248440.216,12299.36503,26.984415,52.573395,4.5908184,5166,5.8072009,4956,1181,23.8,1383,1868,1354,351,7.1,64,3124,63,1832,127102
127103,6037127103,3078754.601,7541.247235,3.4768212,50.099339,4.011065,3103,6.4453754,3360,668,19.9,830,1428,824,278,8.3,45,1789,53.2,1571,127103
127104,6037127104,7618187.611,11271.06139,15.060961,62.634472,5.9871163,3955,7.5853353,4385,1100,25.1,1190,1652,1145,398,9.1,23,2834,64.6,1551,127104
127210,6037127210,16590336.47,19666.15408,14.326648,44.496883,4.6927376,5680,12.323944,5630,1031,18.3,1245,2497,1251,637,11.3,126,3249,57.7,2381,127210
127220,6037127220,7027601.704,10597.75435,19.136923,41.822948,5.5107875,5326,3.7551634,5219,1235,23.7,1471,1968,1051,729,14,52,3675,70.4,1544,127220
127520,6037127520,3914727.635,7988.037298,28.615385,70.605125,4.1095891,4881,4.0975208,4722,1455,30.8,1573,1935,830,384,8.1,0,3879,82.1,843,127520
127603,6037127603,4643287.952,9725.944192,18.77408,53.13485,5.080483,2757,7.254262,2791,697,25,847,1184,597,163,5.8,15,2271,81.4,520,127603
